City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,sabha,27.0377,14.4283,55.17,60,0,8.81,LY,1701735431
270,quiberon,47.4841,-3.1196,49.19,71,29,10.0,FR,1701735741
271,kapa'a,22.0752,-159.319,80.47,71,0,13.8,US,1701735742
272,khanty-mansiysk,61.0042,69.0019,-11.09,70,20,8.95,RU,1701735481
273,cabedelo,-6.9811,-34.8339,81.27,80,57,12.68,BR,1701735742
274,rong'an,26.1247,119.1214,58.69,92,29,2.8,CN,1701735743
275,boryeong,36.3493,126.5977,37.36,68,67,6.17,KR,1701735743
276,shumikha,55.2261,63.2961,33.6,98,100,12.77,RU,1701735744
277,kramfors,62.9316,17.7765,10.18,85,100,2.3,SE,1701735744
278,zag,46.9441,99.165,0.77,84,2,4.47,MN,1701735532
279,vallenar,-28.5708,-70.7581,69.87,48,0,4.23,CL,1701735446
280,ironwood,46.4547,-90.171,32.81,75,100,5.75,US,1701735745
281,buckeye,33.3703,-112.5838,68.41,42,0,4.61,US,1701735738
282,bel ombre,-4.6167,55.4167,82.09,76,100,9.42,SC,1701735746
283,kursenai,55.985,22.9189,19.65,94,26,6.29,LT,1701735746
284,gobabis,-22.45,18.9667,75.85,44,94,7.07,NA,1701735746
285,whakatane,-37.9585,176.9854,63.45,71,100,10.27,NZ,1701735747
286,ketchikan,55.3422,-131.6461,48.34,93,100,11.5,US,1701735530
287,mikuni,36.2171,136.1519,40.91,58,100,5.3,JP,1701735704
288,portland,45.5234,-122.6762,64.81,81,100,11.5,US,1701735345
289,chonchi,-42.6128,-73.8092,61.81,84,36,5.57,CL,1701735486
290,mount pearl,47.5166,-52.7813,33.15,96,100,12.66,CA,1701735565
291,kuanda,56.3161,116.0806,5.68,98,100,1.68,RU,1701735748
292,berdigestyakh,62.0989,126.6992,-48.01,100,54,4.34,RU,1701735749
293,yarmouth,41.7057,-70.2286,45.07,92,0,4.61,US,1701735749
294,faro,37.0194,-7.9322,55.96,82,20,5.75,PT,1701735701
295,avon,41.4517,-82.0354,38.95,84,100,9.22,US,1701735750
296,at taj,24.2049,23.2857,58.6,30,0,10.78,LY,1701735750
297,lyubashivka,47.8372,30.2598,26.06,67,1,3.94,UA,1701735750
298,tuy hoa,13.0833,109.3,75.16,90,83,4.09,VN,1701735751
299,sao jose da coroa grande,-8.8978,-35.1478,79.25,84,95,10.89,BR,1701735578
300,ha giang,22.8333,104.9833,65.68,98,100,1.45,VN,1701735751
301,acapulco de juarez,16.8634,-99.8901,84.02,74,100,10.36,MX,1701735471
302,paphos,34.7667,32.4167,62.38,63,0,5.75,CY,1701735752
303,kentville,45.0835,-64.4988,32.72,89,100,2.3,CA,1701735752
304,howrah,22.5892,88.3103,73.4,78,75,12.66,IN,1701735434
